,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
0,银行ETF,512800,行业，金融，银行,27340.98,中证银行,399986.SZ,5.5,0.35789871504157217
1,红利低波100ETF,515100,策略，低波动，红利,16179.46,红利低波100,930955.CSI,6.6,0.3998825601879037
2,红利低波ETF,512890,策略，红利,51586.33,红利低波,h30269.CSI,6.62,0.4885826771653543
3,金融ETF,510230,行业，金融,3013.21,180金融,000018.SH,6.76,0.2625656414103526
4,红利ETF,510880,策略，红利,44193.56,红利指数,000015,6.81,
5,中证红利ETF,515080,策略，红利,20059.14,中证红利,000922.CSI,7.24,0.2879527356794246
6,基建ETF,516950,主题，基建,5365.96,中证基建,930608.CSI,7.95,0.07802690582959641
7,红利低波ETF基金,515300,策略，红利，低波动,3895.14,300红利LV,930740.CSI,8.17,0.8992481203007519
8,财富管理ETF,159503,主题，金融，理财,1041.09,财富管理,CN5074,8.5878,
9,H股ETF,510900,跨境，香港，中概股,51410.94,恒生中国企业指数,HSCEI.HI,8.59,0.4618173030449492
10,基本面50ETF,512750,策略，价值,1205.08,基本面50,000925.CSI,8.75,0.39239482200647247
11,恒生ETF,159920,跨境，香港,63194.27,恒生指数,HSI.HI,9.68,0.3842435959400677
12,MSCI中国A50ETF,560050,MSCI,19141.18,MSCI中国A50互联互通,746059.MI,11.02,0.6517935258092739
13,金融地产ETF,510650,行业，金融,1017.9,金融指数,399240,11.075,
14,能源ETF,159930,行业，资源，能源,4186.82,中证能源,000928,12.22,
15,央企创新驱动ETF,515900,主题，央企,6805.66,央企创新,000861.CSI,13.27,0.5727124183006536
16,资源ETF,510410,行业，资源,3889.6,上证资源,000068,13.46,
17,油气ETF,159697,行业，石油，天然气,1157.97,国证油气,399439,13.4693,
18,房地产ETF,512200,行业，金融，房地产,30690.21,地产指数,399241,13.5175,
19,煤炭ETF,515220,行业，煤炭，资源,24435.35,中证煤炭,399998.SZ,13.64,0.689853788214444
20,法国CAC40ETF,513080,跨境，法国,2250.2,法国CAC40,FCHI.GI,13.86,0.18824531516183987
21,物流ETF,516910,行业，物流,1653.71,CS物流,930716.CSI,14.33,0.18787878787878787
22,深红利ETF,159905,策略，红利,4226.76,深证红利,399324.SZ,14.57,0.24337168584292146
23,交运ETF,159662,主题，运输,1207.56,国证交运,399433,14.6613,
